Date,Open,High,Low,Close,Adj Close,Volume
26-04-2024,168.8500061,172.1199951,166.3699951,168.2899933,168.2899933,109815700
29-04-2024,188.4199982,198.8699951,184.5399933,194.0500031,194.0500031,243869700
30-04-2024,186.9799957,190.9499969,182.8399963,183.2799988,183.2799988,127031800
01-05-2024,182,185.8600006,179.0099945,179.9900055,179.9900055,92829700
02-05-2024,182.8600006,184.6000061,176.0200043,180.0099945,180.0099945,89148000
03-05-2024,182.1000061,184.7799988,178.4199982,181.1900024,181.1900024,75491500
06-05-2024,183.8000031,187.5599976,182.1999969,184.7599945,184.7599945,84390300
07-05-2024,182.3999939,183.2599945,177.3999939,177.8099976,177.8099976,75045900
08-05-2024,171.5899963,176.0599976,170.1499939,174.7200012,174.7200012,79969500
09-05-2024,175.0099945,175.6199951,171.3699951,171.9700012,171.9700012,65950300
10-05-2024,173.0500031,173.0599976,167.75,168.4700012,168.4700012,72627200
13-05-2024,170,175.3999939,169,171.8899994,171.8899994,67018900
14-05-2024,174.5,179.4900055,174.0700073,177.5500031,177.5500031,86407400
15-05-2024,179.8999939,180,173.1100006,173.9900055,173.9900055,79663000
16-05-2024,174.1000061,175.7899933,171.4299927,174.8399963,174.8399963,59812200
17-05-2024,173.5500031,179.6300049,172.75,177.4600067,177.4600067,77445800
20-05-2024,177.5599976,177.75,173.5200043,174.9499969,174.9499969,61727400
21-05-2024,175.5099945,186.8800049,174.7100067,186.6000061,186.6000061,115266500
22-05-2024,182.8500061,183.8000031,178.1199951,180.1100006,180.1100006,88313500
23-05-2024,181.8000031,181.8999939,173.2599945,173.7400055,173.7400055,71975500
24-05-2024,174.8399963,180.0800018,173.7299957,179.2400055,179.2400055,65479700
28-05-2024,176.3999939,178.25,173.1600037,176.75,176.75,59736600
29-05-2024,174.1900024,178.1499939,173.9299927,176.1900024,176.1900024,54782600
30-05-2024,178.5800018,182.6699982,175.3800049,178.7899933,178.7899933,77784800
31-05-2024,178.5,180.3200073,173.8200073,178.0800018,178.0800018,67314600
03-06-2024,178.1300049,182.6399994,174.4900055,176.2899933,176.2899933,68568900
04-06-2024,174.7799988,177.7599945,174,174.7700043,174.7700043,60056300
05-06-2024,175.3500061,176.1499939,172.1300049,175,175,57953800
06-06-2024,174.6000061,179.7299957,172.7299957,177.9400024,177.9400024,69887000
07-06-2024,176.1300049,179.3500061,175.5800018,177.4799957,177.4799957,56244900
10-06-2024,176.0599976,178.5700073,173.1699982,173.7899933,173.7899933,50869700
11-06-2024,173.9199982,174.75,167.4100037,170.6600037,170.6600037,64761900
12-06-2024,171.1199951,180.5500031,169.8000031,177.2899933,177.2899933,90389400
13-06-2024,188.3899994,191.0800018,181.2299957,182.4700012,182.4700012,118984100
14-06-2024,185.8000031,186,176.9199982,178.0099945,178.0099945,82038200
17-06-2024,177.9199982,188.8099976,177,187.4400024,187.4400024,109786100
18-06-2024,186.5599976,187.1999969,182.3699951,184.8600006,184.8600006,68982300
20-06-2024,184.6799927,185.2100067,179.6600037,181.5700073,181.5700073,55893100
21-06-2024,182.3000031,183.9499969,180.6900024,183.0099945,183.0099945,63029500
24-06-2024,184.9700012,188.8000031,182.5500031,182.5800018,182.5800018,61992100
25-06-2024,184.3999939,187.9700012,182.0099945,187.3500061,187.3500061,63678300
26-06-2024,186.5399933,197.7599945,186.3600006,196.3699951,196.3699951,95737100
27-06-2024,195.1699982,198.7200012,194.0500031,197.4199982,197.4199982,72746500
28-06-2024,199.5500031,203.1999969,195.2599945,197.8800049,197.8800049,95438100
01-07-2024,201.0200043,213.2299957,200.8500061,209.8600006,209.8600006,135691400
02-07-2024,218.8899994,231.3000031,218.0599976,231.2599945,231.2599945,205047900
03-07-2024,234.5599976,248.3500061,234.25,246.3899994,246.3899994,166561500
05-07-2024,249.8099976,252.3699951,242.4600067,251.5200043,251.5200043,154501200
08-07-2024,247.7100067,259.4400024,244.5700073,252.9400024,252.9400024,157219600
09-07-2024,251,265.6099854,250.3000031,262.3299866,262.3299866,160210900
10-07-2024,262.7999878,267.5899963,257.8599854,263.2600098,263.2600098,128519400
11-07-2024,263.2999878,271,239.6499939,241.0299988,241.0299988,221707300
12-07-2024,235.8000031,251.8399963,233.0899963,248.2299957,248.2299957,155955800
